Position,Move,Times_Repeated,Move_Number,Side,Original_Eval_Before,Original_Eval_After,Original_Eval_Drop,Original_Move_Quality,Stockfish_Eval_Drop,Stockfish_Move_Quality,Stockfish_Best_Move,Opening,Move_Theme,Board_Image,Your_Move_Eval,Best_Move_Eval,Eval_Difference
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3,4,5,White,0.21,0.18,0.03,Good,60,Good,g3,Queen's Pawn Game,knight_development; knight_development,board_images/board_303.png,,,
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/2NP4/PPP2PPP/R1BQKB1R b KQkq - 0 6,Ng4,4,12,Black,-1.11,-0.9,-0.21,Blunder,297,Excellent,Ng4,Petroff Defense,knight_development,board_images/board_304.png,-0.90,2.07,2.97
r1bqk2r/ppp2ppp/2p5/2b5/4P1n1/2NPB3/PPP2PPP/R2QKB1R b KQkq - 2 7,Nxe3,4,14,Black,-0.8,-0.94,0.14,Mistake,232,Excellent,Nxe3,Petroff Defense,capture,board_images/board_305.png,-0.94,1.38,2.32
rnbqkb1r/ppp2ppp/4pn2/8/2pPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5,Bxc4,4,9,White,0.55,0.62,-0.07,Inaccuracy,136,Good,e5,Queen's Gambit,capture,board_images/board_306.png,,,
r1bqk2r/ppp1bppp/2n1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 6 6,e3,4,11,White,0.57,0.46,0.11,Mistake,107,Excellent,e3,Queen's Pawn Game,general,board_images/board_307.png,0.46,1.53,1.07
rn1qkb1r/ppp2ppp/8/3pP3/4n1b1/2N2N2/PPPPB1PP/R1BQK2R b KQkq - 3 6,Bxf3,4,12,Black,0.05,0.42,-0.37,Blunder,-35,Inaccuracy,Nc6,King's Pawn Game,capture,board_images/board_308.png,0.42,0.07,0.35
r1bqkb1r/ppp2ppp/2p5/4P3/3Pn3/8/PPP2PPP/RNBQKB1R b KQkq - 0 6,Qh4,4,12,Black,2.02,2.16,-0.14,Mistake,-414,Excellent,Qh4,Petroff Defense,general,board_images/board_309.png,2.16,-1.98,4.14
r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 2 4,Bg4,4,8,Black,0.19,0.12,0.07,Inaccuracy,-25,Excellent,Bg4,Queen's Pawn Game,bishop_development,board_images/board_310.png,,,
rn1qkbnr/pp3ppp/2p1p3/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bf4,4,9,White,0.52,0.26,0.26,Blunder,68,Good,Qb3,Queen's Gambit,bishop_development; bishop_development,board_images/board_311.png,0.26,0.94,0.68
r1bqkb1r/pp3ppp/2n1pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3,4,11,White,0.7,0.21,0.49,Blunder,67,Good,cxd5,Queen's Gambit,general,board_images/board_312.png,0.21,0.88,0.67
rnbqkbnr/pp2pppp/8/2p5/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,Bxc4,4,7,White,0.34,0.31,0.03,Good,67,Excellent,Bxc4,Queen's Gambit,capture,board_images/board_313.png,,,
rnbqkbnr/pp2pppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,exd4,4,9,White,0.49,0.48,0.01,Excellent,97,Excellent,exd4,Queen's Gambit,pawn_capture; capture,board_images/board_314.png,,,
rnb1kbnr/ppp2ppp/8/3q4/3P4/8/PP3PPP/RNBQKBNR b KQkq - 0 5,Nc6,4,10,Black,-0.15,-0.12,-0.03,Good,30,Good,Bb4+,King's Pawn Game,knight_development; knight_development,board_images/board_315.png,-0.12,0.18,0.30
r2qkb1r/pp3ppp/2n1pn2/2pp4/3P1Bb1/2PBPN2/PP1N1PPP/R2QK2R b KQkq - 1 7,Bd6,4,14,Black,0.0,0.05,-0.05,Good,-2,Good,Rc8,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_316.png,0.05,0.03,0.02
rnbq1rk1/ppp1bppp/4pn2/8/2BP4/2N1PN2/PP3PPP/R1BQK2R w KQ - 5 7,O-O,4,13,White,0.55,0.43,0.12,Mistake,104,Good,Qe2,Queen's Gambit,castle; castle,board_images/board_317.png,0.43,1.47,1.04
rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 3,exf4,4,6,Black,-0.2,0.67,-0.87,Blunder,-43,Good,d5,King's Pawn Game,capture,board_images/board_318.png,,,
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 1 5,Nc6,4,10,Black,0.12,0.19,-0.07,Inaccuracy,-28,Good,a6,Queen's Pawn Game,knight_development; knight_development,board_images/board_319.png,,,
r1b1k2r/ppp2ppp/2p5/2b5/2B1P2q/2N2Q1n/PPPP2P1/R1B2R1K b kq - 1 10,Ng5+,4,20,Black,-99.98,-99.92,-0.06,Inaccuracy,19989,Good,Nf2+,Petroff Defense,knight_development; check,board_images/board_320.png,-99.92,99.97,199.89
rnbqk1nr/pppp2pp/4p3/5p2/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3,4,7,White,0.46,0.24,0.22,Blunder,61,Inaccuracy,Bd2,Dutch Defense,knight_development; knight_development,board_images/board_321.png,0.24,0.85,0.61
rnbqkbnr/pp1p1ppp/4p3/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,4,5,White,0.77,-0.13,0.9,Blunder,59,Inaccuracy,d5,Queen's Pawn Game,knight_development; knight_development,board_images/board_322.png,,,
r1bqkbnr/pp2pppp/2n5/2pp4/3P4/2P1PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,Nf6,4,8,Black,0.17,0.54,-0.37,Blunder,-59,Inaccuracy,cxd4,Queen's Pawn Game,knight_development; knight_development,board_images/board_323.png,,,
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P4/2PBPN2/PP3PPP/RNBQK2R b KQkq - 2 5,Bg4,4,10,Black,-0.33,-0.4,0.07,Inaccuracy,56,Excellent,Bg4,Queen's Pawn Game,bishop_development,board_images/board_324.png,-0.40,0.16,0.56
rnbqkb1r/ppp2ppp/8/3pP3/4N3/8/PPPP2PP/R1BQKBNR b KQkq - 0 5,dxe4,4,10,Black,-0.51,-0.54,0.03,Good,115,Excellent,dxe4,King's Pawn Game,pawn_capture; capture,board_images/board_325.png,,,
rnbq1rk1/ppp1ppb1/3p1npp/6B1/2PPP3/2N5/PP2BPPP/R2QK1NR w KQ - 0 7,Be3,4,13,White,0.52,0.6,-0.08,Inaccuracy,92,Excellent,Be3,Queen's Pawn Game,bishop_development,board_images/board_326.png,0.60,1.52,0.92
r1bqkb1r/ppp2ppp/5n2/nB1Pp1N1/8/8/PPPP1PPP/RNBQK2R b KQkq - 2 6,Bd7,4,12,Black,0.22,0.35,-0.13,Mistake,-42,Good,c6,Petroff Defense,bishop_development,board_images/board_327.png,0.35,-0.07,0.42
rnbqkbnr/ppp2ppp/8/3p4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 4,Nf6,4,8,Black,0.16,0.21,-0.05,Good,-44,Good,c6,Queen's Gambit,knight_development; knight_development,board_images/board_328.png,,,
rnbqk2r/pp2bppp/4pn2/2pP2B1/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 6,Nxd5,4,12,Black,0.32,0.48,-0.16,Mistake,-76,Good,cxd4,Queen's Gambit,capture,board_images/board_329.png,,,
rnbqk2r/ppp2ppp/4pb2/3P4/3P4/2N5/PP2PPPP/R2QKBNR b KQkq - 0 6,exd5,4,12,Black,-0.19,-0.07,-0.12,Mistake,37,Excellent,exd5,Queen's Gambit,pawn_capture; capture,board_images/board_330.png,,,
rnbqk2r/ppp1bppp/4pn2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq - 5 5,c5,4,10,Black,0.28,0.4,-0.12,Mistake,-71,Good,O-O,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_331.png,,,
rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bf4,4,9,White,0.31,0.06,0.25,Blunder,53,Inaccuracy,Qb3,Queen's Gambit,bishop_development; bishop_development,board_images/board_332.png,,,
rnbqk2r/pp2Bppp/4p3/2pn4/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 7,Qxe7,4,14,Black,0.36,0.34,0.02,Excellent,-75,Excellent,Qxe7,Queen's Gambit,capture,board_images/board_333.png,,,
rnbqkb1r/ppp2ppp/5n2/3P4/2P2p2/5N2/PP1P2PP/RNBQKB1R b KQkq - 0 5,c6,4,10,Black,-0.21,-0.07,-0.14,Mistake,61,Excellent,c6,King's Pawn Game,general,board_images/board_334.png,,,
rnbqkb1r/pp3ppp/2P2n2/8/2P2p2/5N2/PP1P2PP/RNBQKB1R b KQkq - 0 6,Nxc6,4,12,Black,-1.08,-0.85,-0.23,Blunder,242,Excellent,Nxc6,King's Pawn Game,capture,board_images/board_335.png,,,
r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/2P2N2/PP2PPPP/RN1QKB1R b KQkq - 2 4,Nf6,4,8,Black,-0.04,0.07,-0.11,Mistake,-13,Good,Qb6,Queen's Pawn Game,knight_development; knight_development,board_images/board_336.png,,,
r1bqk2r/ppp2ppp/2p2n2/8/4P3/3PP3/PPP3PP/RN1QKB1R b KQkq - 0 7,Ng4,4,14,Black,0.51,0.85,-0.34,Blunder,-114,Good,Qd6,Petroff Defense,knight_development,board_images/board_337.png,0.85,-0.29,1.14
r1bqkbnr/ppp1pppp/2n5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e3,3,7,White,0.74,0.32,0.42,Blunder,118,Good,d5,Queen's Pawn Game,general,board_images/board_338.png,,,
rnbqkbnr/pppp2pp/8/4p3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Nf3,3,7,White,5.04,1.46,3.58,Blunder,617,Good,Qh5+,Queen's Pawn Game,knight_development; knight_development,board_images/board_339.png,,,
rnbqkbnr/pppp1ppp/8/8/3pP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,Nc6,3,6,Black,-0.07,0.22,-0.29,Blunder,-14,Good,Bc5,King's Pawn Game,knight_development; knight_development,board_images/board_340.png,,,
rnbqk1nr/pp2bppp/2p1p3/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bf4,3,9,White,0.63,0.23,0.4,Blunder,95,Good,e4,Queen's Gambit,bishop_development; bishop_development,board_images/board_341.png,0.23,1.18,0.95
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R w KQ - 1 7,Bd3,3,13,White,0.51,0.35,0.16,Mistake,85,Inaccuracy,Qc2,Queen's Gambit,bishop_development; bishop_development,board_images/board_342.png,0.35,1.20,0.85
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/2N4P/PPPP1PP1/R1BQKB1R b KQkq - 0 6,O-O,3,12,Black,1.86,1.94,-0.08,Inaccuracy,-359,Excellent,O-O,Petroff Defense,castle; castle,board_images/board_343.png,1.94,-1.65,3.59
r1bqkbnr/pppp1ppp/6n1/8/4PB2/8/PPP2PPP/RN1QKBNR w KQkq - 2 5,Bg3,3,9,White,0.21,0.31,-0.1,Inaccuracy,57,Excellent,Bg3,Queen's Pawn Game,bishop_development,board_images/board_344.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,dxe5,3,5,White,0.66,0.68,-0.02,Good,173,Excellent,dxe5,Budapest Gambit,pawn_capture; capture,board_images/board_345.png,,,
rnbqkbnr/pp3ppp/2p1p3/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Nc3,3,9,White,0.82,0.77,0.05,Good,168,Good,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_346.png,,,
r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 5,Nxd5,3,10,Black,-0.28,-0.32,0.04,Good,51,Excellent,Nxd5,King's Pawn Game,capture,board_images/board_347.png,-0.32,0.19,0.51
rn1qkbnr/pbp1pppp/1p1p4/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,3,7,White,0.98,0.95,0.03,Good,188,Good,Nf3,Queen's Pawn Game,pawn_push; central_control,board_images/board_348.png,0.95,2.83,1.88
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,Bb4,3,8,Black,-0.22,0.39,-0.61,Blunder,-10,Good,Nxe4,Petroff Defense,bishop_development,board_images/board_349.png,0.39,0.29,0.10
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP1B2/2N5/PP2PPPP/R2QKBNR b KQkq - 3 4,c5,3,8,Black,0.0,0.0,0.0,Best,-13,Good,Bb4,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_350.png,,,
r2qkb1r/pp1npppp/2p2n2/3p2B1/2PP2b1/2N2N2/PP2PPPP/R2QKB1R w KQkq - 6 6,e3,3,11,White,0.4,-0.09,0.49,Blunder,24,Inaccuracy,cxd5,Queen's Pawn Game,general,board_images/board_351.png,-0.09,0.15,0.24
r2qkb1r/pp1nppp1/2p2n1p/3p2B1/2PP2b1/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bh4,3,13,White,0.35,0.18,0.17,Mistake,72,Excellent,Bh4,Queen's Pawn Game,bishop_development,board_images/board_352.png,0.18,0.90,0.72
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5,exd5,3,10,Black,0.24,0.52,-0.28,Blunder,-80,Good,Nxd5,Queen's Gambit,pawn_capture; capture,board_images/board_353.png,,,
rn1qkbnr/ppp1pppp/8/3p4/2PP2b1/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3,3,5,White,1.5,0.81,0.69,Blunder,252,Good,cxd5,Queen's Gambit,knight_development; knight_development,board_images/board_354.png,0.81,3.33,2.52
r1bqk2r/pp1nbpp1/2p1pn1p/3p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R w KQkq - 0 8,Bh4,3,15,White,0.37,0.4,-0.03,Good,67,Good,Bf4,Queen's Pawn Game,bishop_development,board_images/board_355.png,0.40,1.07,0.67
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/P1N5/1P2PPPP/R1BQKBNR b KQkq - 2 4,c5,3,8,Black,-0.08,-0.14,0.06,Inaccuracy,5,Good,dxc4,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_356.png,,,
rnbqkbnr/pp1p1ppp/4p3/2pP4/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,c4,3,5,White,0.77,0.67,0.1,Inaccuracy,180,Excellent,c4,Queen's Pawn Game,pawn_push; central_control; queenside_attack,board_images/board_357.png,,,
r1bqkb1r/pp1npppp/2p2n2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bg5,3,9,White,0.75,-0.1,0.85,Blunder,23,Inaccuracy,cxd5,Queen's Gambit,bishop_development; bishop_development,board_images/board_358.png,-0.10,0.13,0.23
rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,c5,3,4,Black,0.15,0.44,-0.29,Blunder,-59,Inaccuracy,Nf6,English Opening,pawn_push; central_control; queenside_attack,board_images/board_359.png,,,
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 5,Bd3,3,9,White,1.05,0.99,0.06,Inaccuracy,229,Good,Qc2,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_360.png,0.99,3.28,2.29
rnbqk2r/pp2bppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e3,3,11,White,0.4,0.31,0.09,Inaccuracy,69,Excellent,e3,Queen's Pawn Game,general,board_images/board_361.png,,,
r1bqkb1r/ppp2ppp/2n5/4p3/8/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 8,Bg4,3,16,Black,-1.13,-1.19,0.06,Inaccuracy,249,Excellent,Bg4,Petroff Defense,bishop_development,board_images/board_362.png,-1.19,1.30,2.49
r2qk2r/pp3ppp/2nbpn2/2ppN3/3P1Bb1/2P1P3/PP1NBPPP/R2QK2R b KQkq - 3 8,Bxe2,3,16,Black,-0.18,-0.17,-0.01,Excellent,35,Good,Bxe5,Queen's Pawn Game,capture,board_images/board_363.png,-0.17,0.18,0.35
r1bqkb1r/ppp2ppp/2n5/4p3/4B3/5N2/PPPP1PPP/R1BQK2R b KQkq - 0 7,Bd6,3,14,Black,-0.13,-0.14,0.01,Excellent,33,Excellent,Bd6,Petroff Defense,bishop_development; bishop_development,board_images/board_364.png,-0.14,0.19,0.33
rn1qkb1r/ppp1pppp/5n2/5b2/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 1 5,Nc3,3,9,White,0.74,0.68,0.06,Inaccuracy,126,Good,Qb3,Queen's Gambit,knight_development; knight_development,board_images/board_365.png,0.68,1.94,1.26
rnb1kbnr/pp2pppp/8/2pq4/8/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 4,Qd8,3,8,Black,1.32,1.29,0.03,Good,-265,Excellent,Qd8,Zukertort Opening,general,board_images/board_366.png,1.29,-1.36,2.65
rnbqkbnr/ppp2ppp/3pp3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,3,5,White,0.54,0.54,0.0,Best,119,Good,Nf3,Queen's Pawn Game,knight_development; knight_development,board_images/board_367.png,,,
rnb1kbnr/ppp2ppp/8/8/2Bq4/4P3/PP3PPP/RNB1K1NR w KQkq - 0 6,exd4,3,11,White,-0.17,-0.12,-0.05,Inaccuracy,-40,Excellent,exd4,Queen's Gambit,pawn_capture; capture,board_images/board_368.png,-0.12,-0.52,0.40
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,d5,3,8,Black,0.11,0.64,-0.53,Blunder,-63,Inaccuracy,Bc5,Petroff Defense,pawn_push; central_control,board_images/board_369.png,0.64,0.01,0.63
rnbq1rk1/pp2bpp1/4pn1p/2pp4/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 8,Bd3,3,15,White,0.26,-0.11,0.37,Blunder,15,Inaccuracy,dxc5,Queen's Gambit,bishop_development; bishop_development,board_images/board_370.png,-0.11,0.04,0.15
r3kb1r/ppp2ppp/2n5/3qp3/4N1b1/3P1N1P/PPP2PP1/R1BQK2R b KQkq - 0 8,Bh5,3,16,Black,-1.68,-1.36,-0.32,Blunder,354,Excellent,Bh5,Petroff Defense,bishop_development,board_images/board_371.png,-1.36,2.18,3.54
rn1qkbnr/ppp2ppp/8/3P4/3P1pb1/5N2/PPP3PP/RNBQKB1R b KQkq - 0 5,c6,3,10,Black,0.18,1.06,-0.88,Blunder,-94,Inaccuracy,Qxd5,King's Pawn Game,general,board_images/board_372.png,1.06,0.12,0.94
rnbqkbnr/pppp1ppp/8/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Nf6,3,4,Black,-0.34,-0.13,-0.21,Blunder,63,Good,Nc6,English Opening,knight_development; knight_development,board_images/board_373.png,,,
rnbqkbnr/1p2pppp/p1p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.4,0.39,0.01,Excellent,72,Good,e4,Queen's Gambit,knight_development; knight_development,board_images/board_374.png,,,
rn1qkb1r/pp2ppp1/2p2n1p/3p2B1/2PP2b1/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,Bh4,3,11,White,1.13,0.33,0.8,Blunder,141,Good,Bxf6,Queen's Gambit,bishop_development,board_images/board_375.png,0.33,1.74,1.41
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPPNPPP/RNBQKB1R b KQkq - 1 2,Nf6,3,4,Black,0.02,0.04,-0.02,Excellent,20,Excellent,Nf6,King's Pawn Game,knight_development; knight_development,board_images/board_376.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/6N1/PPPP1PPP/RNBQKB1R b KQkq - 3 3,Nc6,3,6,Black,-0.77,-0.78,0.01,Excellent,164,Excellent,Nc6,King's Pawn Game,knight_development; knight_development,board_images/board_377.png,,,
r1bqkb1r/pp1p1ppp/5n2/2p1Q3/4P3/2N5/PPP2PPP/R1B1KB1R b KQkq - 1 7,Be7,3,14,Black,1.58,1.51,0.07,Inaccuracy,-290,Excellent,Be7,Petroff Defense,bishop_development; bishop_development,board_images/board_378.png,1.51,-1.39,2.90
rnbq1rk1/ppppppbp/5np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQ - 1 5,Be2,3,9,White,0.65,0.66,-0.01,Excellent,108,Excellent,Be2,King's Indian Defense,bishop_development; bishop_development,board_images/board_379.png,0.66,1.74,1.08
r1bq1rk1/pppn1pbp/3p1np1/4p1B1/2PPP3/2N4P/PP2BPP1/R2QK1NR w KQ - 0 8,Nf3,3,15,White,0.53,0.1,0.43,Blunder,72,Good,d5,King's Indian Defense,knight_development; knight_development,board_images/board_380.png,0.10,0.82,0.72
rnbqk2r/pp2bppp/4pn2/2Pp2B1/2P5/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 6,Bxc5,3,12,Black,0.29,0.45,-0.16,Mistake,-101,Inaccuracy,h6,Queen's Gambit,capture,board_images/board_381.png,,,
rnbqk2r/pp3ppp/4pn2/2bP2B1/8/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 7,exd5,3,14,Black,0.29,0.85,-0.56,Blunder,-100,Good,Qb6,Queen's Gambit,pawn_capture; capture,board_images/board_382.png,,,
r1bqk2r/ppp2pp1/2p2n2/2b4p/4P3/2PP4/PP2BPPP/RNBQK2R b KQkq - 0 7,a6,3,14,Black,2.41,2.45,-0.04,Good,-471,Inaccuracy,Ng4,Petroff Defense,defensive,board_images/board_383.png,2.45,-2.26,4.71
r1bqkbnr/pp2pppp/2n5/2pp4/3P1P2/4PN2/PPP3PP/RNBQKB1R b KQkq - 0 4,Bg4,3,8,Black,-0.69,-0.65,-0.04,Good,129,Excellent,Bg4,Bird's Opening,bishop_development,board_images/board_384.png,,,
rnbq1rk1/ppp2pbp/5np1/4p3/2P1P3/2N4P/PP2BPP1/R1BQK1NR w KQ - 0 8,Bg5,3,15,White,0.08,-0.07,0.15,Mistake,2,Good,Nf3,King's Indian Defense,bishop_development; bishop_development,board_images/board_385.png,-0.07,-0.05,0.02
r1bqk2r/ppp2ppp/2p5/8/4P3/2NPbQ2/PPP3PP/R3KB1R b KQkq - 1 9,Bb6,3,18,Black,-0.93,-0.69,-0.24,Blunder,131,Mistake,Bd4,Petroff Defense,bishop_development,board_images/board_386.png,-0.69,0.62,1.31
rnbqkb1r/ppp2pp1/4pn1p/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 5,Bh4,3,9,White,0.96,0.04,0.92,Blunder,85,Good,Bxf6,Queen's Gambit,bishop_development,board_images/board_387.png,,,
r1bqk2r/pppp1ppp/2n2n2/1B2p3/1b2P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 7 5,d6,3,10,Black,0.27,1.34,-1.07,Blunder,-147,Inaccuracy,O-O,Petroff Defense,general,board_images/board_388.png,1.34,-0.13,1.47
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 4 6,e3,3,11,White,0.33,0.07,0.26,Blunder,58,Good,cxd5,Queen's Gambit,general,board_images/board_389.png,,,
r1bqk2r/pppp1pp1/2n2n1p/1B2p3/1b2P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq - 1 6,d6,3,12,Black,0.28,0.39,-0.11,Mistake,-62,Good,Bxc3,Petroff Defense,general,board_images/board_390.png,0.39,-0.23,0.62
rnbqkbnr/pp2pppp/8/2pp4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,cxd5,3,5,White,0.49,0.43,0.06,Inaccuracy,109,Excellent,cxd5,Queen's Gambit,capture,board_images/board_391.png,,,
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 5,Nxd5,3,10,Black,0.38,0.41,-0.03,Good,-65,Good,cxd4,Queen's Gambit,capture,board_images/board_392.png,,,
rnbq1rk1/pppp1ppp/4pn2/6B1/1bPP4/2N5/PP2PPPP/R2QKBNR w KQ - 4 5,Nf3,3,9,White,0.22,0.16,0.06,Inaccuracy,29,Good,e3,Queen's Pawn Game,knight_development; knight_development,board_images/board_393.png,0.16,0.45,0.29
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,Nc6,3,6,Black,-0.49,-0.15,-0.34,Blunder,87,Good,d5,Petroff Defense,knight_development; knight_development,board_images/board_394.png,,,
rnbqkb1r/pp1p1ppp/2p1pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.88,0.23,0.65,Blunder,154,Mistake,e4,Queen's Pawn Game,knight_development; knight_development,board_images/board_395.png,,,
rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,Nf6,3,4,Black,0.15,0.15,0.0,Best,-20,Excellent,Nf6,English Opening,knight_development; knight_development,board_images/board_396.png,,,
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR w KQ - 3 6,Bg5,3,11,White,0.52,0.36,0.16,Mistake,96,Good,h4,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_397.png,0.36,1.32,0.96
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 5,c5,3,10,Black,0.02,0.22,-0.2,Mistake,-45,Inaccuracy,O-O,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_398.png,,,
rn1qkbnr/ppp2ppp/8/3P4/2B2pb1/5N2/PPPP2PP/RNBQK2R b KQkq - 3 5,Bd6,3,10,Black,-0.39,-0.34,-0.05,Good,87,Excellent,Bd6,King's Pawn Game,bishop_development; bishop_development,board_images/board_399.png,-0.34,0.53,0.87
rnbqkb1r/pp2pp1p/2p2np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bg5,3,9,White,0.46,0.51,-0.05,Good,85,Inaccuracy,e3,Queen's Gambit,bishop_development; bishop_development,board_images/board_400.png,,,
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/3P4/PPP1BPPP/RNBQK2R b KQkq - 2 6,Qd4,3,12,Black,1.81,2.51,-0.7,Blunder,-485,Inaccuracy,Ng4,Petroff Defense,general,board_images/board_401.png,2.51,-2.34,4.85
r1b1k2r/ppp2ppp/2p2n2/2b5/3qP3/3P4/PPP1BPPP/RNBQ1RK1 b kq - 4 7,h5,3,14,Black,2.63,3.05,-0.42,Blunder,-577,Inaccuracy,O-O,Petroff Defense,pawn_push; kingside_attack,board_images/board_402.png,3.05,-2.72,5.77
